Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint,Type,Your Instructions / Notes
1,U2,1,Microchip Technology,MCP23S17-E/ML,IC XPNDR 10MHZ SPI 28QFN,SMD,SMD,
2,"IC32,IC33,IC29,IC23,IC39,IC36,IC28,IC34,IC27,IC31,IC30,IC24,IC1,IC35,IC40,IC26,IC38,IC21,IC25,IC22,IC37",21,Texas Instruments,DRV8210DSGR,"11V, 1A BRUSHED DC MOTOR DRIVER",SMD,SMD,
3,"R7,R5,R8,R6,R1,R4,R3,R2",8,YAGEO,RC0402FR-0710KL,RES 10K OHM 1% 1/16W 0402,0402,SMD,Substitutions OK
4,"C67,C12,C54,C24,C61,C45,C51,C59,C26,C40,C47,C52,C63,C34,C50,C4,C60,C10,C32,C43,C18,C14,C28,C8,C62,C42,C2,C49,C36,C16,C58,C57,C6,C38,C22,C46,C30,C56,C20,C69,C53,C55,C44,C48",44,Murata Electronics,GRM155R71C104KA88J,CAP CER 0.1 uF 16 VDC 10% 0402 X7R,0402,SMD,Substitutions OK
5,"C5,C66,C65,C35,C37,C25,C19,C39,C31,C7,C11,C68,C15,C29,C17,C33,C9,C3,C13,C41,C21,C27,C64,C1,C23",25,Murata Electronics,GRM188R6YA106MA73D,CAP CER 10UF 35V X5R 0603,0603,SMD,Substitutions OK
